	sample	perc_supp
0	heart	87.08469555984017
0	mcf7	93.79086892488955
0	hl60_m2_12hr	87.84507622579316
0	huvec	94.03000463989277
0	vessels	88.7346733306965
0	hl60_m1_12hr	88.39050131926122
0	hl60	96.13915994908783
0	a673	92.37699891504316
0	h9_chondro	94.17517618294261
0	panc1	90.55688010899182
0	ovary	91.25302441527971
0	colon	91.01806932433382
0	h9_osteocyte	94.45935714777342
0	wtc11	93.30032424853212
0	brain	87.65419717179822
0	liver	94.79823032578093
0	h9	97.09631287695082
0	adipose	94.50158227848101
0	k562	90.01897042338535
0	pgp1_astro	94.32665594385145
0	gm12878	89.35620953969577
0	hffc6	89.9815157116451
0	calu3	94.26148796498906
0	pgp1_excite_neuron	93.45946926192347
0	lung	88.6136049723757
0	brain_ad	89.42568743473721
0	pc9	94.67168155461526
0	hepg2	91.38297410989202
0	ocily7	89.40979857507256
0	pc3	92.9422166744682
0	hl60_m1_72hr	94.14414414414415
0	hl60_m2_24hr	86.47055700100886
0	hl60_m2_72hr	92.66894364479141
0	h9_panc_progen	91.41870503597123
0	caco2	92.64363619769087
0	imr90	92.28919210758811
0	muscle	94.08438683522698
0	pgp1	94.5031712473573
0	hl60_m0	93.48031682231942
0	kidney	91.5295256534366
0	hmec	93.72799183465169
0	h1_de	89.0025196383578
0	mcf10a	94.23661881637227
0	h9_de	95.4049006847377
0	adrenal_gland	93.40990479517862
0	h9_panc_beta	94.77380064628387
0	h9_neural_crest	90.58358521274123
0	hl60_m1_24hr	87.24321992775111
0	hct116	90.4906172281257
0	pgp1_endo	94.21430224485073
0	h1	91.23290957064044
