Name	fix_needed
TALONT000948748	could go either way
TALONT000408133	lost cause
TALONT000408157	lost cause
TALONT000408184	lost cause
TALONT000408321	lost cause
TALONT000408465	lost cause
TALONT000410780	lost cause
TALONT000410797	lost cause
TALONT000410848	lost cause
TALONT000410905	lost cause
TALONT000410916	lost cause
TALONT000410927	lost cause
TALONT000410934	lost cause
TALONT000410941	lost cause
TALONT001313613	lost cause
TALONT000989251	lost cause
TALONT000989737	lost cause
TALONT000560160	lost cause
TALONT001116478	no
TALONT001003889	no
TALONT000347527	no
TALONT000347957	no
TALONT002262246	no
TALONT001652026	no
TALONT001652032	no
TALONT000303567	yes
TALONT000965659	yes
TALONT000643252	yes
TALONT000643268	yes
TALONT000643313	yes
TALONT000643341	yes
TALONT000643354	yes
TALONT001372970	yes
TALONT001107144	yes
TALONT001107245	yes
TALONT000271619	yes
TALONT001914882	yes
TALONT000930061	yes
TALONT000930071	yes
TALONT000930083	yes
TALONT001699259	yes
TALONT001699272	yes
TALONT000466190	yes
TALONT000466988	yes
TALONT000637494	yes
TALONT000637497	yes
TALONT000637508	yes
TALONT000637511	yes
TALONT000637792	yes
TALONT000638355	yes
TALONT000550296	yes
TALONT000983329	yes
TALONT000983339	yes
TALONT002452026	yes
TALONT000553908	yes
TALONT002262242	yes
TALONT000560145	yes
TALONT000560544	yes
TALONT000560879	yes
TALONT000560912	yes
TALONT001223369	yes
TALONT000636819	yes
TALONT002277371	
TALONT002800029	
TALONT004125006	
TALONT001118671	
TALONT001118729	
TALONT001118733	
TALONT001118744	
TALONT001118783	no
TALONT001118811	no
TALONT001118835	no
TALONT001118871	
TALONT001119318	no
TALONT000431066	
TALONT000431076	
TALONT000431147	no
TALONT000431260	
TALONT000431429	no
TALONT000431769	
TALONT000433356	
TALONT000433367	
TALONT000433378	no
TALONT000981293	
TALONT000410987	
TALONT001004192	no
TALONT001004254	
TALONT000516336	
TALONT000516339	
TALONT000516344	
TALONT000302825	
TALONT000628587	
TALONT000554524	yes
TALONT000554527	yes
TALONT000920002	
TALONT000326914	
TALONT000392415	
TALONT000392434	
TALONT000392510	
TALONT000926314	
TALONT000411570	
TALONT000989199	
TALONT000761310	
TALONT000889717	
TALONT000904832	
TALONT000242447	
TALONT000513944	yes
TALONT000643249	
TALONT000643472	yes
TALONT000643557	
TALONT001107701	no
TALONT000369757	
TALONT001096012	
TALONT000377473	
TALONT003471763	
TALONT001061770	
TALONT000908976	
TALONT000909041	
TALONT000909066	
TALONT000909203	
TALONT000983726	
TALONT001701586	
TALONT000737658	
TALONT000647086	
TALONT000647810	
TALONT000648451	
TALONT000648453	
TALONT000648473	
TALONT000648490	
TALONT000648534	
TALONT000648539	
TALONT000648625	
TALONT000648661	
TALONT000648762	
TALONT000648921	
TALONT001622087	
TALONT001622089	
TALONT001622147	
TALONT000732916	
TALONT000950767	
TALONT000526060	
TALONT000446661	
TALONT000446670	
TALONT000446694	
TALONT000446706	
TALONT000446720	
TALONT000446832	
TALONT000447845	
TALONT000466371	
TALONT000466506	
TALONT000467068	
TALONT000467175	
TALONT000580383	
TALONT000471602	
TALONT000637495	
TALONT000637622	
TALONT000988203	
TALONT000579329	
TALONT000579331	
TALONT000747980	
TALONT000748037	
TALONT000268735	
TALONT000873770	
TALONT000874281	
TALONT000874287	
TALONT000874298	
TALONT000874304	
TALONT000874657	
TALONT000756882	
TALONT000756915	
TALONT000756927	
TALONT000757499	
TALONT000516690	
TALONT000775053	
TALONT000716419	
TALONT002235976	
TALONT001741404	
TALONT000473107	
TALONT000504522	
TALONT000504930	
TALONT001048604	
TALONT000689905	
TALONT000689999	
TALONT000690022	
TALONT000690057	
TALONT000341061	
TALONT000341096	
TALONT001178568	
TALONT001116827	
TALONT001116868	
TALONT001116925	
TALONT000789753	
TALONT000691564	
TALONT000948969	
TALONT000902091	
TALONT000902203	
TALONT000902227	
TALONT000902232	
TALONT000902302	
TALONT000902318	
TALONT000902321	
TALONT000560027	
TALONT000792848	
TALONT000960368	
TALONT001588187	
TALONT000397359	
TALONT000397377	
TALONT000397394	
TALONT000654354	
TALONT000654365	
TALONT000244006	
TALONT001202150	
TALONT000560239	
TALONT000560249	
TALONT001122495	
TALONT000654487	
TALONT000654527	
TALONT000385143	
